device,useragent
chrome,"Mozilla/5.0 (Linux; U; Linux i665 x86_64) AppleWebKit/601.11 (KHTML, like Gecko) Chrome/55.0.1565.298 Safari/600"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 9_4_7) Gecko/20100101 Firefox/56.0
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 9_7_2) AppleWebKit/536.19 (KHTML, like Gecko) Chrome/52.0.1929.228 Safari/537"
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_1_6; en-US) Gecko/20100101 Firefox/59.6
windows,Mozilla/5.0 (compatible; MSIE 10.0; Windows; U; Windows NT 6.0; x64; en-US Trident/6.0)
android,"Mozilla/5.0 (Linux; Android 4.4.1; SM-J110F Build/KTU84P) AppleWebKit/601.27 (KHTML, like Gecko)  Chrome/54.0.2949.303 Mobile Safari/537.0"
windows,"Mozilla/5.0 (Windows; Windows NT 10.1; WOW64) AppleWebKit/536.30 (KHTML, like Gecko) Chrome/48.0.3644.308 Safari/601.8 Edge/9.34756"
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 8_1_4; like Mac OS X) AppleWebKit/603.26 (KHTML, like Gecko)  Chrome/51.0.2468.228 Mobile Safari/535.6"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_0; en-US) AppleWebKit/600.24 (KHTML, like Gecko) Chrome/55.0.3049.350 Safari/601"
linux,"Mozilla/5.0 (Linux; Linux i565 x86_64; en-US) AppleWebKit/535.2 (KHTML, like Gecko) Chrome/53.0.1287.307 Safari/602"
windows,Mozilla/5.0 (Windows NT 10.4; x64; en-US) Gecko/20130401 Firefox/45.6
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_9_1; like Mac OS X) AppleWebKit/600.20 (KHTML, like Gecko)  Chrome/53.0.2307.388 Mobile Safari/535.8"
chrome,"Mozilla/5.0 (Linux i575 ) AppleWebKit/535.9 (KHTML, like Gecko) Chrome/47.0.2448.266 Safari/537"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_1_5; like Mac OS X) AppleWebKit/603.3 (KHTML, like Gecko)  Chrome/48.0.3144.125 Mobile Safari/600.2"
windows,Mozilla/5.0 (compatible; MSIE 10.0; Windows; U; Windows NT 6.0; WOW64 Trident/6.0)
windows,Mozilla/5.0 (compatible; MSIE 9.0; Windows; U; Windows NT 10.4;; en-US Trident/5.0)
firefox,Mozilla/5.0 (Windows; Windows NT 10.2; WOW64; en-US) Gecko/20100101 Firefox/45.6
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_7_0; like Mac OS X) AppleWebKit/603.26 (KHTML, like Gecko)  Chrome/55.0.3879.183 Mobile Safari/533.3"
mobile,"Mozilla/5.0 (Android; Android 4.4; XT1060 Build/SU6-7.3) AppleWebKit/536.30 (KHTML, like Gecko)  Chrome/53.0.2697.200 Mobile Safari/601.6"
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_1) AppleWebKit/603.31 (KHTML, like Gecko) Chrome/54.0.3949.209 Safari/533"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_2_8; like Mac OS X) AppleWebKit/536.28 (KHTML, like Gecko)  Chrome/50.0.2150.195 Mobile Safari/602.7"
windows,Mozilla/5.0 (Windows; Windows NT 10.1; Win64; x64) Gecko/20100101 Firefox/68.1
edge,"Mozilla/5.0 (Windows; Windows NT 10.4; WOW64; en-US) AppleWebKit/601.38 (KHTML, like Gecko) Chrome/52.0.3002.337 Safari/601.1 Edge/17.16882"
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_2_8; like Mac OS X) AppleWebKit/536.47 (KHTML, like Gecko)  Chrome/49.0.2076.286 Mobile Safari/536.0"
chrome,"Mozilla/5.0 (Linux i575 x86_64; en-US) AppleWebKit/602.40 (KHTML, like Gecko) Chrome/51.0.2264.210 Safari/534"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 9_3_1) Gecko/20100101 Firefox/70.2
firefox,Mozilla/5.0 (Windows; Windows NT 6.2; x64; en-US) Gecko/20100101 Firefox/45.3
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 7_3_4; en-US) AppleWebKit/535.24 (KHTML, like Gecko) Chrome/53.0.1574.189 Safari/602"
android,"Mozilla/5.0 (Linux; U; Android 7.1.1; Xperia Build/NDE63X) AppleWebKit/602.41 (KHTML, like Gecko)  Chrome/52.0.2285.371 Mobile Safari/533.3"
windows,Mozilla/5.0 (Windows; Windows NT 10.5; Win64; x64; en-US) Gecko/20100101 Firefox/72.2
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.1; Trident/4.0)
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows; Windows NT 6.2; Win64; x64 Trident/7.0)
firefox,Mozilla/5.0 (U; Linux i582 x86_64) Gecko/20100101 Firefox/48.4
mobile,"Mozilla/5.0 (Linux; Android 5.0; SAMSUNG-SM-N910F Build/LRX22C) AppleWebKit/600.14 (KHTML, like Gecko)  Chrome/52.0.3355.320 Mobile Safari/602.2"
chrome,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 8_5_0; en-US) AppleWebKit/535.21 (KHTML, like Gecko) Chrome/52.0.2145.132 Safari/534"
chrome,"Mozilla/5.0 (Windows; U; Windows NT 6.1; Win64; x64) AppleWebKit/602.10 (KHTML, like Gecko) Chrome/51.0.2680.400 Safari/537"
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_9; en-US) AppleWebKit/535.24 (KHTML, like Gecko) Chrome/50.0.1511.265 Safari/534"
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 9_4_2; en-US) AppleWebKit/534.28 (KHTML, like Gecko) Chrome/51.0.3332.332 Safari/533"
windows,Mozilla/5.0 (Windows; U; Windows NT 10.4; Win64; x64) Gecko/20100101 Firefox/57.8
chrome,"Mozilla/5.0 (Linux i660 ; en-US) AppleWebKit/601.25 (KHTML, like Gecko) Chrome/55.0.2604.373 Safari/535"
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 9_9_0) AppleWebKit/533.19 (KHTML, like Gecko) Chrome/47.0.3293.233 Safari/603"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_4_5; like Mac OS X) AppleWebKit/601.22 (KHTML, like Gecko)  Chrome/54.0.1000.395 Mobile Safari/537.4"
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.2;; en-US Trident/4.0)
edge,"Mozilla/5.0 (Windows NT 10.2; Win64; x64; en-US) AppleWebKit/603.28 (KHTML, like Gecko) Chrome/52.0.3840.388 Safari/533.0 Edge/8.34637"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_4_1) Gecko/20100101 Firefox/63.0
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows; U; Windows NT 6.3;; en-US Trident/5.0)
linux,"Mozilla/5.0 (Linux x86_64; en-US) AppleWebKit/602.29 (KHTML, like Gecko) Chrome/54.0.1300.127 Safari/600"
linux,Mozilla/5.0 (U; Linux i566 x86_64) Gecko/20130401 Firefox/51.4
firefox,Mozilla/5.0 (Linux; U; Linux x86_64; en-US) Gecko/20130401 Firefox/48.5
android,"Mozilla/5.0 (Linux; U; Android 7.1; Pixel C Build/NRD90M) AppleWebKit/602.28 (KHTML, like Gecko)  Chrome/52.0.2642.353 Mobile Safari/603.9"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_9_6; like Mac OS X) AppleWebKit/600.11 (KHTML, like Gecko)  Chrome/52.0.3878.249 Mobile Safari/602.3"
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows; Windows NT 6.3; Win64; x64 Trident/4.0)
chrome,"Mozilla/5.0 (Windows; Windows NT 6.2;; en-US) AppleWebKit/533.50 (KHTML, like Gecko) Chrome/51.0.1987.147 Safari/603"
edge,"Mozilla/5.0 (Windows NT 10.5; x64) AppleWebKit/536.16 (KHTML, like Gecko) Chrome/55.0.2378.256 Safari/602.4 Edge/12.90545"
android,"Mozilla/5.0 (Android; Android 5.0; LG-D800F Build/KOT49I) AppleWebKit/602.37 (KHTML, like Gecko)  Chrome/55.0.2752.336 Mobile Safari/603.6"
android,"Mozilla/5.0 (Linux; U; Android 5.0; SAMSUNG SM-A800F Build/LRX22G) AppleWebKit/601.15 (KHTML, like Gecko)  Chrome/48.0.1090.156 Mobile Safari/600.8"
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 11_0_8; like Mac OS X) AppleWebKit/534.3 (KHTML, like Gecko)  Chrome/50.0.2473.141 Mobile Safari/602.3"
chrome,"Mozilla/5.0 (Windows; U; Windows NT 10.3; WOW64; en-US) AppleWebKit/601.46 (KHTML, like Gecko) Chrome/55.0.2274.110 Safari/536"
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows; U; Windows NT 6.3; x64; en-US Trident/4.0)
firefox,Mozilla/5.0 (Windows; Windows NT 6.3; Win64; x64; en-US) Gecko/20100101 Firefox/57.0
windows,Mozilla/5.0 (Windows; U; Windows NT 6.3;; en-US) Gecko/20100101 Firefox/73.1
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 9_0_5; like Mac OS X) AppleWebKit/603.24 (KHTML, like Gecko)  Chrome/48.0.2885.323 Mobile Safari/537.6"
linux,Mozilla/5.0 (U; Linux x86_64) Gecko/20130401 Firefox/69.9
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_2_4; like Mac OS X) AppleWebKit/536.34 (KHTML, like Gecko)  Chrome/52.0.2819.286 Mobile Safari/601.2"
firefox,Mozilla/5.0 (Linux; Linux i652 ; en-US) Gecko/20100101 Firefox/72.2
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_1_1; en-US) Gecko/20130401 Firefox/62.6
firefox,Mozilla/5.0 (U; Linux x86_64) Gecko/20100101 Firefox/73.2
windows,"Mozilla/5.0 (Windows; U; Windows NT 10.4; Win64; x64) AppleWebKit/536.39 (KHTML, like Gecko) Chrome/50.0.3807.225 Safari/601"
mobile,"Mozilla/5.0 (Android; Android 7.1; Nexus 9P Build/NPD90G) AppleWebKit/537.41 (KHTML, like Gecko)  Chrome/54.0.2251.231 Mobile Safari/533.9"
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_8_2; like Mac OS X) AppleWebKit/537.4 (KHTML, like Gecko)  Chrome/47.0.3141.141 Mobile Safari/535.1"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_0_7; like Mac OS X) AppleWebKit/601.6 (KHTML, like Gecko)  Chrome/51.0.1014.246 Mobile Safari/534.1"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_4) Gecko/20100101 Firefox/74.5
windows,"Mozilla/5.0 (Windows; U; Windows NT 6.0; WOW64) AppleWebKit/603.26 (KHTML, like Gecko) Chrome/50.0.1900.193 Safari/534.2 Edge/8.39724"
windows,Mozilla/5.0 (compatible; MSIE 7.0; Windows; U; Windows NT 6.0;; en-US Trident/4.0)
android,"Mozilla/5.0 (Linux; Android 4.4.1; Nexus S Build/GRJ22) AppleWebKit/534.6 (KHTML, like Gecko)  Chrome/52.0.2457.204 Mobile Safari/602.3"
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows; U; Windows NT 6.2; x64; en-US Trident/5.0)
windows,Mozilla/5.0 (compatible; MSIE 8.0; Windows; Windows NT 10.5; x64 Trident/4.0)
firefox,Mozilla/5.0 (Linux i676 ) Gecko/20130401 Firefox/45.8
windows,Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 10.5; WOW64; en-US Trident/6.0)
android,"Mozilla/5.0 (Linux; U; Android 5.0; LG-D716 Build/LRX22G) AppleWebKit/537.20 (KHTML, like Gecko)  Chrome/50.0.3303.215 Mobile Safari/534.9"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.4; x64; en-US) AppleWebKit/602.45 (KHTML, like Gecko) Chrome/51.0.1933.363 Safari/537.6 Edge/11.38328"
windows,"Mozilla/5.0 (Windows; U; Windows NT 10.2; Win64; x64; en-US) AppleWebKit/601.31 (KHTML, like Gecko) Chrome/53.0.2976.236 Safari/536"
mobile,"Mozilla/5.0 (Android; Android 4.4.4; Google Nexus 6 Build/KOT49H) AppleWebKit/602.6 (KHTML, like Gecko)  Chrome/54.0.3390.261 Mobile Safari/537.0"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.0; WOW64; en-US) AppleWebKit/534.31 (KHTML, like Gecko) Chrome/55.0.1871.142 Safari/535.4 Edge/15.43757"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_5_6; like Mac OS X) AppleWebKit/534.30 (KHTML, like Gecko)  Chrome/52.0.3377.351 Mobile Safari/600.6"
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 10_5_0; like Mac OS X) AppleWebKit/603.46 (KHTML, like Gecko)  Chrome/50.0.3651.265 Mobile Safari/536.3"
chrome,"Mozilla/5.0 (Linux i670 x86_64; en-US) AppleWebKit/535.7 (KHTML, like Gecko) Chrome/50.0.3697.102 Safari/603"
chrome,"Mozilla/5.0 (Linux; Linux i655 ; en-US) AppleWebKit/536.19 (KHTML, like Gecko) Chrome/55.0.1817.223 Safari/533"
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 8_8_0; en-US) AppleWebKit/600.2 (KHTML, like Gecko) Chrome/53.0.3932.226 Safari/603"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_6_4; like Mac OS X) AppleWebKit/536.34 (KHTML, like Gecko)  Chrome/49.0.3271.303 Mobile Safari/536.0"
edge,"Mozilla/5.0 (Windows; U; Windows NT 10.5; WOW64; en-US) AppleWebKit/537.46 (KHTML, like Gecko) Chrome/47.0.1186.267 Safari/534.1 Edge/14.43743"
linux,Mozilla/5.0 (Linux; U; Linux i653 x86_64) Gecko/20100101 Firefox/56.5
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_0_1; like Mac OS X) AppleWebKit/536.17 (KHTML, like Gecko)  Chrome/55.0.2826.178 Mobile Safari/603.7"
firefox,Mozilla/5.0 (Linux i582 ; en-US) Gecko/20100101 Firefox/53.8
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_9_1; en-US) AppleWebKit/536.50 (KHTML, like Gecko) Chrome/53.0.1615.398 Safari/601"
firefox,Mozilla/5.0 (Linux i685 ) Gecko/20130401 Firefox/73.1
mac,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_2_1) AppleWebKit/602.38 (KHTML, like Gecko) Chrome/51.0.3297.166 Safari/535"
android,"Mozilla/5.0 (Linux; Android 4.4.4; LG-D120 Build/KOT49H) AppleWebKit/603.3 (KHTML, like Gecko)  Chrome/52.0.1719.256 Mobile Safari/602.4"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_5_2; like Mac OS X) AppleWebKit/600.12 (KHTML, like Gecko)  Chrome/55.0.1721.199 Mobile Safari/600.9"
linux,Mozilla/5.0 (Linux; U; Linux x86_64) Gecko/20100101 Firefox/52.2
mobile,"Mozilla/5.0 (Android; Android 4.4.1; LG-F200S Build/KOT49I) AppleWebKit/535.27 (KHTML, like Gecko)  Chrome/53.0.2027.357 Mobile Safari/603.8"
mobile,"Mozilla/5.0 (Android; Android 7.1; Nexus 9X Build/NME91E) AppleWebKit/602.41 (KHTML, like Gecko)  Chrome/50.0.3252.237 Mobile Safari/602.7"
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows; U; Windows NT 6.1;; en-US Trident/4.0)
linux,"Mozilla/5.0 (Linux; Linux i656 ) AppleWebKit/534.5 (KHTML, like Gecko) Chrome/48.0.2781.146 Safari/603"
linux,"Mozilla/5.0 (U; Linux x86_64; en-US) AppleWebKit/601.12 (KHTML, like Gecko) Chrome/47.0.2522.304 Safari/600"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 9_3_8; en-US) Gecko/20100101 Firefox/74.1
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_8_9; like Mac OS X) AppleWebKit/537.23 (KHTML, like Gecko)  Chrome/52.0.2540.277 Mobile Safari/603.6"
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 7_9_6; like Mac OS X) AppleWebKit/535.10 (KHTML, like Gecko)  Chrome/50.0.2014.103 Mobile Safari/534.9"
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows; U; Windows NT 6.0; Win64; x64 Trident/6.0)
firefox,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_11_2) Gecko/20100101 Firefox/52.8
mobile,"Mozilla/5.0 (Linux; Android 5.1; SAMSUNG SM-G93508 Build/MMB29M) AppleWebKit/600.47 (KHTML, like Gecko)  Chrome/47.0.2628.374 Mobile Safari/536.1"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_2_0; en-US) Gecko/20100101 Firefox/68.6
windows,"Mozilla/5.0 (Windows; U; Windows NT 6.2;; en-US) AppleWebKit/603.21 (KHTML, like Gecko) Chrome/54.0.3184.127 Safari/600"
windows,Mozilla/5.0 (compatible; MSIE 8.0; Windows; U; Windows NT 10.0; WOW64 Trident/4.0)
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Win64; x64; en-US Trident/5.0)
android,"Mozilla/5.0 (Linux; U; Android 7.1.1; Xperia V Build/NDE63X) AppleWebKit/603.14 (KHTML, like Gecko)  Chrome/55.0.3983.228 Mobile Safari/535.7"
mobile,"Mozilla/5.0 (Linux; Android 7.0; LG-H920 Build/NRD90C) AppleWebKit/533.30 (KHTML, like Gecko)  Chrome/53.0.2688.270 Mobile Safari/534.2"
edge,"Mozilla/5.0 (Windows NT 10.1; WOW64; en-US) AppleWebKit/602.44 (KHTML, like Gecko) Chrome/51.0.2023.398 Safari/603.0 Edge/8.13966"
mobile,"Mozilla/5.0 (Linux; U; Android 4.4.4; Nexus 6 Build/KOT49H) AppleWebKit/537.38 (KHTML, like Gecko)  Chrome/51.0.3298.286 Mobile Safari/534.1"
firefox,Mozilla/5.0 (Macintosh; Intel Mac OS X 7_1_7) Gecko/20100101 Firefox/51.7
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_7_8; like Mac OS X) AppleWebKit/537.34 (KHTML, like Gecko)  Chrome/47.0.2614.362 Mobile Safari/536.1"
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.2; Trident/6.0)
linux,Mozilla/5.0 (Linux; Linux i643 x86_64) Gecko/20100101 Firefox/56.5
windows,"Mozilla/5.0 (Windows; Windows NT 6.0; WOW64) AppleWebKit/600.29 (KHTML, like Gecko) Chrome/53.0.2493.156 Safari/533"
chrome,"Mozilla/5.0 (U; Linux x86_64; en-US) AppleWebKit/534.28 (KHTML, like Gecko) Chrome/50.0.2647.353 Safari/601"
chrome,"Mozilla/5.0 (Windows NT 10.2;) AppleWebKit/603.11 (KHTML, like Gecko) Chrome/48.0.2730.234 Safari/603"
mac,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_3_0) Gecko/20130401 Firefox/52.0
firefox,Mozilla/5.0 (Linux i650 ) Gecko/20100101 Firefox/64.7
explorer,Mozilla/5.0 (compatible; MSIE 9.0; Windows; Windows NT 6.3; WOW64 Trident/5.0)
mobile,"Mozilla/5.0 (Linux; Android 5.1.1; SM-G9350S Build/MMB29M) AppleWebKit/603.21 (KHTML, like Gecko)  Chrome/51.0.2808.152 Mobile Safari/536.9"
android,"Mozilla/5.0 (Android; Android 6.0; HTC One_M8 Build/MRA58K) AppleWebKit/600.28 (KHTML, like Gecko)  Chrome/51.0.2088.314 Mobile Safari/601.7"
firefox,Mozilla/5.0 (U; Linux i674 ; en-US) Gecko/20130401 Firefox/71.6
windows,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/601.8 (KHTML, like Gecko) Chrome/52.0.2945.347 Safari/534.0 Edge/12.76894"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 8_7_5; like Mac OS X) AppleWebKit/601.14 (KHTML, like Gecko)  Chrome/52.0.3495.128 Mobile Safari/536.8"
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_7_7; en-US) Gecko/20100101 Firefox/54.0
chrome,"Mozilla/5.0 (U; Linux i662 x86_64) AppleWebKit/534.39 (KHTML, like Gecko) Chrome/55.0.1778.291 Safari/603"
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows; Windows NT 6.2; WOW64 Trident/4.0)
edge,"Mozilla/5.0 (Windows; Windows NT 10.5;) AppleWebKit/535.48 (KHTML, like Gecko) Chrome/49.0.3900.176 Safari/536.1 Edge/17.57283"
mobile,"Mozilla/5.0 (Linux; U; Android 6.0; HTC One M8 Pro Build/MRA58K) AppleWebKit/603.29 (KHTML, like Gecko)  Chrome/50.0.2156.112 Mobile Safari/601.6"
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 9_5_9 like Mac OS X) AppleWebKit/535.5 (KHTML, like Gecko)  Chrome/52.0.1008.348 Mobile Safari/535.2"
mobile,"Mozilla/5.0 (iPad; CPU iPad OS 10_4_7 like Mac OS X) AppleWebKit/534.45 (KHTML, like Gecko)  Chrome/50.0.2618.116 Mobile Safari/603.6"
firefox,Mozilla/5.0 (Windows NT 10.2;; en-US) Gecko/20100101 Firefox/53.4
mac,Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_5_0; en-US) Gecko/20100101 Firefox/68.5
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows; U; Windows NT 6.2; x64 Trident/4.0)
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 9_5_0; like Mac OS X) AppleWebKit/533.32 (KHTML, like Gecko)  Chrome/50.0.2217.387 Mobile Safari/603.8"
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.0; Win64; x64 Trident/6.0)
chrome,"Mozilla/5.0 (Windows NT 6.0; x64; en-US) AppleWebKit/602.20 (KHTML, like Gecko) Chrome/52.0.2262.235 Safari/537"
android,"Mozilla/5.0 (Android; Android 5.1; MOTOROLA XT1021 Build/LMY47Z) AppleWebKit/600.29 (KHTML, like Gecko)  Chrome/48.0.3841.238 Mobile Safari/601.1"
android,"Mozilla/5.0 (Linux; Android 4.3.1; Nokia 3110 Build/IMM76D) AppleWebKit/603.26 (KHTML, like Gecko)  Chrome/49.0.2138.225 Mobile Safari/536.3"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_7; like Mac OS X) AppleWebKit/603.4 (KHTML, like Gecko)  Chrome/48.0.2034.280 Mobile Safari/533.7"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 7_9_7; like Mac OS X) AppleWebKit/537.44 (KHTML, like Gecko)  Chrome/50.0.3225.228 Mobile Safari/536.7"
windows,"Mozilla/5.0 (Windows NT 6.2; x64) AppleWebKit/533.38 (KHTML, like Gecko) Chrome/51.0.3608.369 Safari/600"
windows,"Mozilla/5.0 (Windows; U; Windows NT 6.3; WOW64) AppleWebKit/535.26 (KHTML, like Gecko) Chrome/49.0.1784.277 Safari/603.9 Edge/12.24213"
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 8_4_3; en-US) AppleWebKit/603.25 (KHTML, like Gecko) Chrome/51.0.1598.185 Safari/602"
mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_1_5; like Mac OS X) AppleWebKit/537.25 (KHTML, like Gecko)  Chrome/48.0.1638.166 Mobile Safari/600.3"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_7_4; like Mac OS X) AppleWebKit/601.19 (KHTML, like Gecko)  Chrome/50.0.3167.132 Mobile Safari/537.3"
edge,"Mozilla/5.0 (Windows; Windows NT 10.0; Win64; x64; en-US) AppleWebKit/600.16 (KHTML, like Gecko) Chrome/49.0.2594.263 Safari/601.6 Edge/16.86518"
linux,Mozilla/5.0 (U; Linux x86_64; en-US) Gecko/20100101 Firefox/51.4
chrome,"Mozilla/5.0 (Macintosh; Intel Mac OS X 7_0_2) AppleWebKit/533.41 (KHTML, like Gecko) Chrome/50.0.2850.288 Safari/533"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 9_3_4; like Mac OS X) AppleWebKit/603.6 (KHTML, like Gecko)  Chrome/50.0.1981.129 Mobile Safari/537.3"
chrome,"Mozilla/5.0 (Linux; U; Linux x86_64; en-US) AppleWebKit/536.2 (KHTML, like Gecko) Chrome/54.0.1109.188 Safari/537"
explorer,Mozilla/5.0 (compatible; MSIE 11.0; Windows; Windows NT 6.0; Trident/7.0)
linux,"Mozilla/5.0 (Linux; Linux x86_64; en-US) AppleWebKit/602.33 (KHTML, like Gecko) Chrome/47.0.1301.378 Safari/537"
explorer,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.3; WOW64 Trident/4.0)
android,"Mozilla/5.0 (Linux; Android 5.1.1; SAMSUNG SM-G93508 Build/LMY47X) AppleWebKit/534.5 (KHTML, like Gecko)  Chrome/54.0.2771.360 Mobile Safari/602.8"
windows,Mozilla/5.0 (compatible; MSIE 8.0; Windows; U; Windows NT 10.0;; en-US Trident/4.0)
mobile,"Mozilla/5.0 (iPod; CPU iPod OS 10_9_6; like Mac OS X) AppleWebKit/536.45 (KHTML, like Gecko)  Chrome/54.0.3671.230 Mobile Safari/535.4"
android,"Mozilla/5.0 (Android; Android 6.0.1; Nexus 5P Build/MDB08L) AppleWebKit/600.26 (KHTML, like Gecko)  Chrome/51.0.3891.319 Mobile Safari/535.4"
chrome,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_10_9) AppleWebKit/602.26 (KHTML, like Gecko) Chrome/52.0.1186.198 Safari/534"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_2_5; like Mac OS X) AppleWebKit/534.31 (KHTML, like Gecko)  Chrome/49.0.1974.267 Mobile Safari/601.1"
explorer,Mozilla/5.0 (compatible; MSIE 10.0; Windows; Windows NT 6.1; Win64; x64; en-US Trident/6.0)
explorer,Mozilla/5.0 (compatible; MSIE 7.0; Windows; Windows NT 6.0; Win64; x64 Trident/4.0)
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 11_2_6; like Mac OS X) AppleWebKit/534.9 (KHTML, like Gecko)  Chrome/54.0.2069.258 Mobile Safari/534.0"
windows,"Mozilla/5.0 (Windows; Windows NT 6.1; WOW64; en-US) AppleWebKit/600.11 (KHTML, like Gecko) Chrome/53.0.1615.282 Safari/602.9 Edge/9.64502"
linux,Mozilla/5.0 (Linux i661 ) Gecko/20100101 Firefox/62.5
edge,"Mozilla/5.0 (Windows; Windows NT 10.4;) AppleWebKit/601.7 (KHTML, like Gecko) Chrome/55.0.1945.210 Safari/602.6 Edge/15.83335"
chrome,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 9_1_0) AppleWebKit/602.12 (KHTML, like Gecko) Chrome/49.0.1147.211 Safari/536"
iphone,"Mozilla/5.0 (iPhone; CPU iPhone OS 10_9_7; like Mac OS X) AppleWebKit/601.1 (KHTML, like Gecko)  Chrome/55.0.2804.293 Mobile Safari/603.0"
mac,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_2_8) AppleWebKit/533.15 (KHTML, like Gecko) Chrome/49.0.3683.392 Safari/534"
edge,"Mozilla/5.0 (Windows; Windows NT 10.2; Win64; x64; en-US) AppleWebKit/602.49 (KHTML, like Gecko) Chrome/52.0.2096.258 Safari/535.8 Edge/15.89255"
android,"Mozilla/5.0 (Linux; U; Android 4.4.4; LG Optimus G Build/KRT16M) AppleWebKit/537.16 (KHTML, like Gecko)  Chrome/55.0.3281.265 Mobile Safari/534.1"
